"",WG1 H16.06.008,WG4 H16.06.009,WG4 H16.06.010,WG1 H17.06.015,Fold Change,Score
LOC105373092,0.633,0.791,0.617,0.757,0.00892,0.00737
EXOSC1,2.07,2.31,2.71,2.92,0.014,0.00743
HADHA,2.23,2.6,2.41,2.76,0.0113,0.00743
PLEKHA8P1,0.299,0.276,0.44,0.399,0.00882,0.00743
C8orf76,0.576,0.541,0.665,0.613,0.00828,0.00744
POLR3D,0.213,0.259,0.314,0.343,0.00841,0.00744
F11R,0.445,0.466,0.347,0.351,0.00858,0.00746
TSTA3,0.423,0.464,0.558,0.581,0.0088,0.00746
YBX1,1.93,1.67,2.58,2.29,0.0142,0.00748
FAS,0.712,0.951,0.75,0.969,0.00995,0.00752
ZNF607,0.943,0.842,1.44,1.32,0.0128,0.00756
EIF3C,0.381,0.44,0.367,0.409,0.00811,0.00758
TSFM,1.04,1.2,1.15,1.29,0.00917,0.00758
SLC2A1-AS1,0.838,0.916,1.33,1.38,0.0127,0.00759
CEP135,1.05,0.961,1.23,1.12,0.00946,0.00763
RIMS2,8.55,8.67,8.5,8.6,0.00885,0.00763
NHP2L1,2.21,1.85,2.24,1.86,0.0118,0.00768
AHDC1,2.65,3.3,4.07,4.67,0.0229,0.00769
LOC100289650,0.413,0.535,0.728,0.829,0.011,0.00769
STAB2,1.25,0.895,1.3,0.925,0.0117,0.0077
CANX,2.78,2.84,3.62,3.65,0.0167,0.0077
FAM227A,2.32,2.81,2.19,2.65,0.0129,0.00771
RNF180,4.91,5.14,5,5.2,0.0101,0.00777
CENPT,0.829,0.93,1.14,1.22,0.0111,0.00778
STKLD1,0.388,0.366,0.574,0.532,0.00975,0.0078
CSF2RA,0.419,0.389,0.446,0.399,0.00833,0.0079
LOC286114,1.42,0.228,1.56,0.324,0.0215,0.00791
AKAP9,6.61,6.74,6.73,6.84,0.00925,0.00791
NCOA4,1.7,1.67,1.89,1.84,0.01,0.00793
LNX1-AS1,1.61,1.03,1.92,1.31,0.0146,0.00795
PAIP1,2.59,2.38,2.58,2.36,0.0104,0.00798
RPL8,1.72,0.861,2.13,1.24,0.0179,0.00799
ITGB1,3.85,4.27,3.94,4.33,0.0126,0.00803
ZNF600,0.546,0.776,0.6,0.809,0.0106,0.00807
PIAS3,0.652,0.755,0.714,0.798,0.00914,0.00808
TRIM5,0.383,0.581,0.365,0.543,0.0102,0.00808
GPR132,0.185,0.25,0.316,0.362,0.00948,0.00809
VAV2,0.483,0.349,0.506,0.353,0.00974,0.0081
FBXO27,0.433,0.304,0.764,0.612,0.0118,0.00814
MRPL40,0.401,0.216,0.438,0.231,0.0104,0.00817
HDGFRP3,4.35,4.33,5.17,5.12,0.0175,0.00818
JMJD4,0.398,0.369,0.44,0.394,0.00868,0.00824
C9orf129,0.842,1.23,1.27,1.63,0.0131,0.00827
LOC105377303,0.309,0.342,0.45,0.464,0.00995,0.00839
PYGO2,0.38,0.398,0.474,0.474,0.0094,0.00839
APOLD1,0.348,0.463,0.434,0.531,0.00965,0.00839
ADCY5,1.91,1.69,3.36,3.1,0.0255,0.00843
IQCJ-SCHIP1,0.613,0.386,0.692,0.442,0.0113,0.00845
NCLN,2.15,2.47,2.69,2.98,0.0148,0.0085
RRP8,4.76,4.79,4.61,4.61,0.0105,0.00852
GSTM3,0.278,0.385,0.572,0.655,0.012,0.00855
ZNF257,0.727,0.909,0.73,0.891,0.0106,0.00855
SERPINI2,0.245,0.278,0.317,0.332,0.00933,0.00857
ANKUB1,0.652,0.726,0.496,0.548,0.0106,0.00858
NARF,2.33,2.98,2.7,3.32,0.0163,0.00858
LOC105370585,0.834,0.792,0.582,0.516,0.0118,0.00861
PPFIA1,4.62,4.97,4.91,5.24,0.0128,0.00862
LZIC,1.35,1.37,1.61,1.6,0.0116,0.00863
LOC105369669,1.52,1.53,1.84,1.82,0.0124,0.00863
MEIS1,0.44,0.353,0.413,0.306,0.00992,0.00873
GABBR2,8.48,8.61,8.79,8.9,0.0124,0.00874
VPS16,0.62,0.86,0.904,1.12,0.0121,0.00874
CCDC62,1.78,2.13,2.22,2.54,0.014,0.00874
ANKRD7,0.453,0.404,0.538,0.47,0.00967,0.00874
ZC3H12B,8.52,8.72,8.81,8.99,0.0123,0.0088
AUTS2,10.8,10.7,11.1,10.9,0.0122,0.00881
SMCR8,0.432,0.557,0.553,0.658,0.0103,0.00883
BCL2L1,2.59,2.66,3.5,3.53,0.0201,0.0089
RBM47,0.745,0.801,0.637,0.672,0.0104,0.00891
LOC105378731,0.353,0.168,0.342,0.134,0.0114,0.00894
MADD,3.96,4.65,4.47,5.11,0.0173,0.00894
CACNA2D1,9.6,9.31,9.8,9.48,0.0128,0.00897
TTL,2.98,3.13,3.56,3.68,0.0161,0.00897
TUBB4A,0.846,0.571,1.26,0.961,0.0141,0.00899
DGAT2,0.401,0.478,0.804,0.854,0.0139,0.00899
ETV5,1.48,1.79,0.668,0.937,0.0197,0.00907
HYI,0.373,0.283,0.431,0.32,0.0104,0.00911
ALDH7A1,1.87,1.91,2.17,2.19,0.0128,0.00911
ZNF19,0.439,0.469,0.563,0.572,0.0106,0.00911
MYO18B,0.621,0.617,0.623,0.601,0.00933,0.00916
LOC105371340,0.343,0.31,0.226,0.172,0.0108,0.00919
HPGDS,0.56,0.552,0.368,0.336,0.0119,0.00923
LSM6,1.14,0.847,1.26,0.939,0.0133,0.00924
NDUFB4,2.06,1.66,2.06,1.63,0.0147,0.00926
H2AFZ,2.44,1.63,2.27,1.42,0.0202,0.00928
GABPB1,1.42,1.69,1.52,1.76,0.0127,0.00932
PMS2P9,0.421,0.525,0.396,0.478,0.0106,0.00933
FAM86B3P,0.53,0.744,0.534,0.723,0.012,0.00937
TRMT10C,1.03,0.878,1.24,1.06,0.0119,0.00938
WBSCR16,1.7,1.93,2.16,2.36,0.0153,0.00942
CDO1,0.658,0.522,1.02,0.86,0.0141,0.00944
METTL20,0.548,0.5,0.499,0.43,0.0103,0.00946
ZNF585A,1.31,1.54,1.56,1.77,0.0127,0.00947
NLRX1,0.811,0.877,1.1,1.14,0.0133,0.00952
UBR2,6.51,6.98,6.55,6.99,0.0157,0.00953
XRN1,6.17,6.53,6.38,6.72,0.0144,0.00961
REEP5,4.45,4.17,4.94,4.63,0.0162,0.00974
KPTN,1.22,1.21,2.25,2.19,0.0235,0.00974
SCFD2,6.2,6.53,6.5,6.8,0.0141,0.00976
CDK5RAP2,2.83,3.33,3.37,3.83,0.0169,0.00976
SAFB,3.41,3.63,4.1,4.28,0.0191,0.0098
LTV1,1.23,1.16,1.56,1.45,0.0141,0.0098
GPN1,0.666,0.807,0.717,0.835,0.0116,0.00982
COPRS,1.22,0.759,1.42,0.931,0.0164,0.00982
FBF1,1.84,2.04,2.31,2.48,0.0163,0.00992
HCG27,0.452,0.321,0.906,0.743,0.0161,0.00995
ZSCAN22,0.362,0.381,0.47,0.466,0.0113,0.00997
AMDHD2,0.297,0.415,0.287,0.382,0.0115,0.01
USP9Y,0.0515,0.0534,7.02,6.81,0.107,0.01
PGLS,0.974,1.1,1.15,1.25,0.0125,0.0101
PEX5L,9.38,8.45,10,9.06,0.0238,0.0102
ZSCAN1,1.21,1.04,1.24,1.04,0.0128,0.0102
SFXN1,4.07,4.39,4.57,4.85,0.017,0.0102
MAPK13,0.476,0.397,0.514,0.412,0.0115,0.0102
BCAN,0.822,0.374,1,0.519,0.0169,0.0102
HS2ST1,5.8,5.98,6,6.16,0.0129,0.0102
VSNL1,2.95,2.86,4.43,4.27,0.0312,0.0103
LOC105375828,0.667,0.711,0.465,0.482,0.0134,0.0103
FBLL1,0.349,0.301,0.476,0.404,0.012,0.0103
ZNF90,0.311,0.643,0.321,0.624,0.0149,0.0103
LSM12,1.69,1.73,2.21,2.2,0.0175,0.0103
TOMM5,0.996,0.615,1.1,0.688,0.0161,0.0103
RASGRP2,0.279,0.396,0.427,0.519,0.0124,0.0104
PRUNE2,4.75,5.35,4.64,5.2,0.0188,0.0104
MARC2,1.37,1.26,2.36,2.21,0.0248,0.0105
CCDC137,0.415,0.485,0.563,0.608,0.0125,0.0105
IQCE,2.54,3.02,3.06,3.51,0.0181,0.0105
RGCC,0.456,0.31,0.409,0.238,0.0129,0.0105
EYA2,0.395,0.473,0.331,0.386,0.0116,0.0105
ZNF81,1.39,1.58,1.66,1.82,0.0144,0.0105
TMEM25,1.69,1.64,2.01,1.94,0.0153,0.0106
UBR3,8.64,8.6,8.63,8.58,0.0113,0.0106
PPP2R3B,0.431,0.454,0.752,0.745,0.0153,0.0107
EIF3K,2.1,2.41,2.54,2.81,0.017,0.0107
SNCG,0.418,0.154,0.4,0.107,0.0149,0.0107
LOC101927067,0.414,0.341,0.481,0.385,0.012,0.0107
C12orf66,0.818,0.737,0.887,0.782,0.0121,0.0107
IL5,0.508,0.456,0.442,0.366,0.0119,0.0107
MFF,5.28,5.08,5.17,4.95,0.0139,0.0108
PRPF19,1.21,1.32,1.65,1.73,0.0173,0.0108
CSTF3,4.98,4.88,5,4.88,0.0126,0.0109
TCTN2,1.42,1.72,1.58,1.85,0.0153,0.0109
ANKZF1,1.08,1.27,1.32,1.49,0.0145,0.0109
SLC35E4,0.673,0.886,1.07,1.25,0.0168,0.0109
UTY,0.113,0.224,7.34,7.21,0.122,0.011
ZNF667,3.85,4.25,4.87,5.21,0.0267,0.0111
ZFP62,0.997,1.08,1.25,1.3,0.0148,0.0111
LOC102723640,0.967,0.822,0.876,0.704,0.0136,0.0112
LOC101927511,0.402,0.484,0.325,0.382,0.0126,0.0112
ST8SIA2,0.22,0.356,0.23,0.34,0.0131,0.0112
RNF43,0.365,0.42,0.28,0.309,0.0127,0.0112
FTSJ3,0.275,0.372,0.311,0.384,0.0125,0.0112
LOC105374278,1.17,1.13,1.02,0.951,0.0138,0.0112
LOR,0.554,0.331,0.46,0.207,0.015,0.0112
GPR108,0.21,0.2,0.33,0.294,0.0129,0.0112
LOC105376765,0.412,0.186,0.639,0.383,0.0151,0.0112
DTD1,5,5.55,5.13,5.64,0.0197,0.0112
MARCH9,0.896,0.789,1.22,1.08,0.0161,0.0113
LOC105376036,0.382,0.393,0.346,0.333,0.0121,0.0113
PATL1,1.08,1.15,1.28,1.32,0.0144,0.0114
TSPAN19,0.437,0.536,0.325,0.397,0.0134,0.0114
BRI3BP,1.56,1.64,2.28,2.32,0.0227,0.0115
KCNJ2,0.45,0.485,0.465,0.476,0.0118,0.0115
LOC105377369,0.428,0.35,0.295,0.189,0.0139,0.0115
LOC101927156,1.43,1.35,0.995,0.875,0.0189,0.0115
LOC283922,1.34,1.88,3.06,3.52,0.0388,0.0115
DNAJC6,8.16,7.84,8.25,7.89,0.0172,0.0116
LRP11,4.65,4.5,5.51,5.32,0.0253,0.0116
SF1,6.19,5.91,5.81,5.49,0.0182,0.0116
WDR20,4.22,4.61,4.63,4.99,0.0181,0.0116
LOC105372586,0.185,0.365,0.429,0.578,0.0154,0.0116
ACYP1,2.17,1.6,2.44,1.82,0.0216,0.0117
LOC100128531,0.249,0.269,0.254,0.251,0.0119,0.0117
BAK1,0.527,0.498,0.607,0.552,0.0128,0.0117
FAM19A4,0.348,0.342,0.288,0.256,0.013,0.0118
BET1L,0.437,0.33,0.444,0.309,0.0138,0.0118
TMEM203,0.452,0.29,0.508,0.316,0.0148,0.0118
UBXN1,0.812,0.674,0.908,0.742,0.0144,0.0118
LOC101927764,0.35,0.203,0.394,0.218,0.0146,0.0119
NXNL2,0.353,0.395,0.583,0.595,0.0154,0.0119
CENPN,0.29,0.252,0.325,0.262,0.0127,0.0119
PIGM,0.558,0.534,0.799,0.744,0.0157,0.0119
ZNF462,0.815,0.496,0.952,0.598,0.0176,0.0119
LOC284241,0.367,0.343,0.538,0.484,0.0147,0.012
E2F3,4.53,4.59,5.59,5.59,0.0296,0.012
LOC105376552,0.379,0.433,0.279,0.305,0.014,0.012
TAPBPL,0.288,0.302,0.321,0.31,0.0124,0.0121
KLHL36,1.41,1.8,2.01,2.36,0.022,0.0121
LOC105376014,0.326,0.277,0.257,0.181,0.0135,0.0121
ZCCHC8,2.43,3.18,2.84,3.54,0.0245,0.0121
RACGAP1,0.452,0.564,0.595,0.678,0.0143,0.0121
ZNF384,0.853,0.935,1.1,1.15,0.0161,0.0121
DIRAS2,3.54,3.69,3.13,3.24,0.0195,0.0121
MAOA,0.57,0.289,1.07,0.753,0.0205,0.0122
DDX20,1.68,1.47,1.63,1.38,0.0161,0.0122
PML,0.38,0.51,0.55,0.65,0.0149,0.0122
ARID4A,5.42,5.21,5.74,5.49,0.0174,0.0122
ZCCHC3,0.625,0.484,0.764,0.593,0.0149,0.0122
MYO5A,7.11,6.98,7.51,7.34,0.0188,0.0122
LOC105372422,0.179,0.157,0.414,0.361,0.016,0.0122
EIF4H,1.73,1.62,2.07,1.92,0.018,0.0123
KIAA0556,3.49,4.2,4.32,4.98,0.0264,0.0123
LOC102724851,0.4,0.383,0.344,0.3,0.0135,0.0123
MAMSTR,0.517,0.727,1.05,1.22,0.0214,0.0124
GATAD2B,6.04,6.57,6.43,6.92,0.0212,0.0124
NAT9,1.49,1.57,1.84,1.88,0.0182,0.0124
ZMYM6NB,0.235,0.242,0.355,0.333,0.0143,0.0124
MCM8,0.406,0.471,0.465,0.503,0.0133,0.0124
DDX18,2.58,2.54,2.09,2.01,0.0214,0.0124
RCCD1,0.718,0.846,0.989,1.08,0.017,0.0125
TCEA1,2.21,2.5,2.25,2.51,0.0174,0.0125
LOC105375425,0.407,0.581,0.377,0.521,0.0153,0.0125
TANGO6,3.79,4.51,4.08,4.75,0.0249,0.0125
DHPS,0.96,1.1,1.05,1.16,0.0148,0.0126
STAM-AS1,0.478,0.256,0.728,0.472,0.0168,0.0126
CATSPERB,0.36,0.384,0.333,0.331,0.0133,0.0126
HIST2H2BA,0.251,0.23,0.302,0.254,0.0133,0.0126
C22orf34,0.292,0.422,0.257,0.358,0.0147,0.0126
PRR11,0.46,0.435,0.596,0.54,0.0148,0.0127
GPR160,0.26,0.352,0.224,0.287,0.0141,0.0127
PPIB,1.2,1.03,1.36,1.16,0.0159,0.0127
LINC01006,2,1.55,2.35,1.86,0.0212,0.0127
MFN2,1.91,2.24,2.57,2.85,0.024,0.0127
HSD11B1L,1.84,1.9,2.36,2.37,0.0217,0.0127
EPHB1,4.6,3.79,5.99,5.1,0.0371,0.0127
SNAP25,9.49,9.21,9.86,9.54,0.019,0.0127
WARS2,1.48,1.55,1.75,1.8,0.0175,0.0127
ZFYVE1,1.64,2.08,2.19,2.59,0.0223,0.0128
RNF139,1.11,0.958,1.41,1.22,0.0179,0.0128
RBBP6,3.99,4.17,4.37,4.52,0.0193,0.0128
ZNF555,0.785,0.988,1.22,1.38,0.0203,0.0128
LOC105374685,0.936,0.774,0.902,0.708,0.0161,0.0129
SPDYE8P,1.05,1.04,0.896,0.86,0.0159,0.0129
LOC100131289,0.394,0.233,0.569,0.375,0.0161,0.0129
DCDC2B,0.795,0.796,0.76,0.733,0.0138,0.0129
LOC105376758,0.297,0.188,0.314,0.175,0.0152,0.0129
ZNF674-AS1,0.426,0.314,0.451,0.308,0.0153,0.0129
CCDC107,0.91,0.617,0.995,0.665,0.0187,0.013
LINC00672,1.27,1.09,1.13,0.922,0.0166,0.013
ZNF551,0.289,0.323,0.427,0.43,0.0152,0.013
TMEM205,4.22,3.88,4.13,3.75,0.0197,0.0131
ZSWIM6,7.37,7.18,7.86,7.62,0.0219,0.0132
CBFA2T3,0.79,0.998,1.42,1.58,0.0246,0.0133
CCDC148,3.33,3.65,3.63,3.92,0.0189,0.0133
SIGMAR1,0.908,0.8,0.929,0.79,0.0156,0.0133
RABGAP1L,9.2,9.27,9.26,9.3,0.0143,0.0133
LOC101928767,0.458,0.493,0.439,0.447,0.0139,0.0133
MMAB,1.2,1.13,1.88,1.76,0.0257,0.0133
COG6,4.76,5.09,5.17,5.45,0.0208,0.0135
KIAA1191,1.66,1.62,1.95,1.86,0.0186,0.0135
ABCG5,0.66,0.75,0.513,0.57,0.0167,0.0136
LINC01331,0.271,0.155,0.494,0.343,0.0175,0.0136
FAM214B,0.761,0.716,1.05,0.969,0.0189,0.0137
GINM1,1.86,2.3,2.3,2.69,0.0218,0.0137
LOC105375330,0.277,0.207,0.41,0.308,0.016,0.0137
AMZ2P1,1.47,1.19,1.62,1.31,0.0195,0.0137
LOC105378343,0.23,0.14,0.42,0.296,0.0172,0.0138
PTPDC1,3.24,3.32,3.75,3.78,0.0232,0.0138
LOC105369675,0.313,0.357,0.263,0.276,0.0151,0.0138
LOC105379169,0.341,0.45,0.344,0.422,0.0157,0.0138
PKNOX1,2.83,3.04,3.84,3.99,0.033,0.0139
SLC16A1,1.71,1.87,1.8,1.93,0.0167,0.0139
NCKAP1,7.46,7.35,7.25,7.1,0.0185,0.0139
EIF2AK1,1.71,2.16,1.91,2.32,0.0224,0.0139
HIST1H2BK,0.389,0.25,0.468,0.295,0.0171,0.014
GSPT1,4.4,4.78,4.81,5.15,0.0218,0.014
NAP1L2,0.809,0.529,1.09,0.775,0.02,0.014
ZNF788,0.241,0.209,0.435,0.369,0.0175,0.014
TRAPPC4,1.15,1.16,1.18,1.16,0.0143,0.014
LLGL2,0.249,0.284,0.272,0.278,0.0145,0.0141
LOC105377223,0.00102,0.00844,1.45,1.37,0.0421,0.0141
TRAPPC6A,0.648,0.705,0.659,0.687,0.0149,0.0141
DUS4L,0.675,0.622,0.711,0.626,0.0155,0.0141
ANKMY1,2.8,3.27,3.26,3.69,0.023,0.0141
ACBD3,2.79,3.1,3.2,3.46,0.0218,0.0141
MDGA2,8.76,9.38,8.43,9,0.0261,0.0141
TPK1,4.07,4.2,4.1,4.2,0.0165,0.0141
ANAPC15,0.538,0.341,0.53,0.296,0.0185,0.0142
RSPH4A,1.57,1.57,1.39,1.36,0.0181,0.0142
N4BP1,4.19,4.41,4.59,4.77,0.0219,0.0142
BHLHE41,1.35,1.17,1.79,1.57,0.0228,0.0143
TMEM141,0.518,0.286,0.584,0.314,0.0194,0.0143
EPRS,2.96,3.28,3.33,3.61,0.0213,0.0143
CD164,1.3,1.15,1.39,1.2,0.0177,0.0143
MPDU1,0.524,0.503,0.707,0.65,0.0177,0.0143
PLEKHJ1,0.99,0.758,1.21,0.938,0.0195,0.0144
SNHG17,0.633,0.626,0.754,0.714,0.0165,0.0144
LOC105374450,1.34,1.44,1.49,1.56,0.0172,0.0144
METTL2A,0.719,1.05,1.02,1.31,0.0208,0.0144
SYNPO2L,0.421,0.44,0.382,0.37,0.0156,0.0145
SLC35F1,6.01,6.73,6.77,7.43,0.0294,0.0145
LOC101928347,0.432,0.325,0.263,0.119,0.0184,0.0145
TAF6L,0.814,0.89,0.947,0.989,0.0169,0.0145
BUB3,0.946,0.82,1.28,1.11,0.0209,0.0145
TTTY14,0.749,1.04,9.03,8.96,0.181,0.0145
NPTN,7.13,6.71,7.46,6.99,0.0239,0.0146
INF2,0.459,0.489,0.669,0.662,0.0185,0.0146
LOC102724596,0.44,0.44,0.556,0.523,0.0167,0.0146
TCEANC2,0.635,0.817,0.857,1,0.0188,0.0146
CXCL14,0.581,0.257,0.631,0.264,0.0218,0.0146
FBLIM1,0.296,0.267,0.282,0.222,0.0156,0.0147
IWS1,2.25,2.04,3.02,2.76,0.0301,0.0147
GTF3C6,0.847,0.64,1,0.76,0.0194,0.0147
LOC654342,4.61,5.36,6.15,6.81,0.046,0.0148
LINC00907,1.98,2.01,2.15,2.15,0.018,0.0148
SP140L,0.273,0.334,0.24,0.268,0.0159,0.0148
AACSP1,0.319,0.129,0.599,0.369,0.0203,0.0148
LOC105376507,0.328,0.395,0.448,0.481,0.017,0.0149
DTYMK,0.5,0.482,0.582,0.532,0.0163,0.0149
LOC105377094,0.381,0.443,0.27,0.296,0.0176,0.0149
AQP4-AS1,1.33,1.72,0.953,1.3,0.0233,0.0149
PTPRN2,9.14,9.3,9.64,9.75,0.025,0.0149
FSD2,1.77,1.64,2,1.83,0.0194,0.015
DGCR6,0.762,0.512,1.04,0.746,0.0207,0.015
BOLA2,0.222,0.282,0.278,0.306,0.016,0.015
C1RL,0.594,0.756,1.02,1.14,0.0236,0.015
CSNK2A2,2.2,2.21,2.73,2.68,0.0258,0.0151
SPTSSA,1.25,1.08,1.61,1.39,0.0222,0.0151
LINC00595,0.243,0.205,0.487,0.41,0.0199,0.0151
AGAP6,1.89,2.07,2.19,2.33,0.0211,0.0151
LOC102725044,0.254,0.262,0.336,0.312,0.0166,0.0151
ZNF439,2.81,3.31,3.44,3.88,0.0281,0.0151
ARL6IP4,1.69,1.3,1.75,1.31,0.024,0.0152
GTF3C3,1.4,1.44,1.88,1.86,0.0249,0.0152
FLT3,0.387,0.45,0.352,0.382,0.0164,0.0152
TTI2,0.892,0.954,0.89,0.92,0.0163,0.0153
LOC105369380,0.533,0.519,0.651,0.602,0.0175,0.0153
ULBP2,0.508,0.381,0.72,0.554,0.0195,0.0153
LOC105371450,0.248,0.352,0.278,0.348,0.0173,0.0154
LOC101928059,0.345,0.282,0.334,0.237,0.0172,0.0154
LOC105372860,0.316,0.297,0.268,0.215,0.0169,0.0154
PHTF1,5.58,5.75,5.86,5.99,0.0212,0.0155
HDGFRP2,1.9,2.3,2.46,2.81,0.0272,0.0155
LOC100505549,1.14,1.66,0.995,1.46,0.0264,0.0156
ITGAM,0.361,0.42,0.321,0.346,0.0168,0.0156
LOC105378641,1.87,1.33,2.42,1.82,0.0282,0.0156
LOC102724715,0.466,0.495,0.467,0.463,0.016,0.0156
MRPL42,1.46,1.55,1.55,1.61,0.0174,0.0157
UBL4A,0.55,0.378,0.619,0.407,0.0199,0.0157
LINC01152,0.529,0.369,0.43,0.231,0.0197,0.0157
LOC105372176,0.743,0.692,0.593,0.504,0.0194,0.0157
KIAA1024L,0.507,0.57,0.356,0.38,0.0195,0.0157
PIK3C2G,1.18,1.2,0.911,0.883,0.0225,0.0159
SMIM20,0.413,0.347,0.608,0.502,0.0198,0.0159
NSA2,1.48,1.42,1.64,1.54,0.0189,0.0159
FAM155A,11.8,11.6,11.8,11.6,0.0202,0.0159
SYPL1,0.817,0.686,1.18,0.998,0.0236,0.016
MAPRE1,0.902,0.836,1.24,1.13,0.0231,0.016
MXRA7,1.69,1.69,2.1,2.05,0.0247,0.016
FTLP10,0.265,0.304,0.23,0.235,0.0172,0.0161
PCSK4,0.3,0.348,0.364,0.378,0.0171,0.0161
TMEM222,1.21,1.02,1.68,1.44,0.0262,0.0161
KIAA0020,2.55,2.99,2.94,3.32,0.0255,0.0161
ZNF197-AS1,0.232,0.366,0.263,0.359,0.0188,0.0162
SOX6,1.06,1.11,0.886,0.902,0.0206,0.0162
SLC35A2,0.35,0.235,0.474,0.319,0.0193,0.0162
TMEM179,0.883,0.804,1.5,1.36,0.0298,0.0163
STX4,0.376,0.368,0.646,0.594,0.022,0.0163
KIDINS220,4.91,5.39,5.36,5.8,0.0269,0.0163
PPP1CA,0.556,0.498,0.691,0.595,0.019,0.0163
LOC105374090,0.414,0.367,0.395,0.313,0.0179,0.0164
CYP4X1,2.55,2.33,2.72,2.45,0.0222,0.0164
LOC105376525,0.632,0.65,0.421,0.395,0.0218,0.0164
SRD5A2,0.406,0.396,0.497,0.452,0.0182,0.0165
JAK1,5.38,4.71,6.21,5.47,0.035,0.0165
DPY19L2P1,5.42,5.22,5.91,5.65,0.0273,0.0165
PIGL,4.17,4.71,4.6,5.08,0.0284,0.0165
LOC105376299,0.305,0.554,0.321,0.526,0.0218,0.0165
PSMG2,3.12,3.03,3.32,3.19,0.0207,0.0166
LOC100505666,0.261,0.205,0.361,0.267,0.0185,0.0166
MANEA,1.07,0.799,1.27,0.946,0.0236,0.0166
FAM174B,2.97,3.35,3.17,3.5,0.025,0.0166
RPS6KB1,3.59,4.14,3.92,4.4,0.0288,0.0166
LANCL3,0.298,0.801,0.274,0.722,0.0279,0.0167
FAM120AOS,1.87,1.83,2.47,2.37,0.03,0.0167
RECK,6.87,7.35,6.96,7.39,0.0273,0.0167
CCNDBP1,0.873,1.01,0.946,1.04,0.0195,0.0167
LOC100128885,0.381,0.382,0.507,0.469,0.0193,0.0167
LOC105372392,0.376,0.389,0.536,0.508,0.0201,0.0168
GNPDA1,1.21,1.21,1.38,1.34,0.0203,0.0168
LOC105373786,0.316,0.434,0.263,0.343,0.0191,0.0168
C10orf35,2.26,2.78,2.09,2.55,0.0283,0.0168
CYBB,0.254,0.285,0.285,0.282,0.0172,0.0168
ARSA,0.769,0.923,0.788,0.902,0.0201,0.0169
TMEM161A,1.18,1.48,1.32,1.57,0.0234,0.0169
LOC100506730,0.316,0.469,0.418,0.531,0.02,0.0169
ZMYND8,7.74,7.61,8.29,8.1,0.0292,0.0169
GRIP2,0.708,0.618,0.612,0.482,0.0197,0.0169
ARMC4,0.797,1.02,0.704,0.88,0.0217,0.0169
VPS26B,2.52,2.8,3.16,3.38,0.0316,0.017
KCNA1,1.41,1.87,1.69,2.1,0.0274,0.017
LYRM7,1.47,1.72,1.85,2.06,0.0257,0.017
MEX3B,0.374,0.391,0.485,0.463,0.0192,0.017
PROSER3,0.578,0.917,0.659,0.949,0.0246,0.017
SLC25A26,4.63,5.04,4.51,4.86,0.0262,0.017
LOC100130345,0.784,1.12,0.802,1.09,0.0247,0.0171
ZNF37A,4.32,4.99,4.71,5.31,0.0325,0.0171
WBP11,1.61,1.53,1.66,1.54,0.0196,0.0171
LOC105370779,0.629,0.575,0.762,0.667,0.0199,0.0171
LOC101929210,0.369,0.403,0.327,0.324,0.0187,0.0172
SMIM4,0.489,0.397,0.731,0.594,0.0225,0.0172
STK17A,1.07,1.23,0.854,0.968,0.0231,0.0172
LOC284023,0.303,0.274,0.269,0.203,0.0185,0.0173
RAB33A,0.596,0.315,0.914,0.585,0.0248,0.0173
LOC105375471,0.624,0.58,0.898,0.807,0.0234,0.0173
C5orf30,2.05,1.46,2.82,2.15,0.0354,0.0174
MSS51,1.27,1.55,1.64,1.87,0.0259,0.0174
UBE2V2,2.31,2.34,2.66,2.64,0.0255,0.0174
LOC105378057,1.12,0.917,1.1,0.847,0.0231,0.0174
SNRPB2,1.46,1.37,1.43,1.29,0.0202,0.0175
ITGA2,0.527,0.508,0.492,0.435,0.0188,0.0175
TFG,3.51,3.54,3.88,3.86,0.026,0.0175
TBXAS1,0.543,0.433,0.582,0.43,0.0207,0.0175
MIEF2,0.311,0.246,0.389,0.286,0.0196,0.0176
KGFLP1,0.9,1.06,0.715,0.833,0.0227,0.0176
NOC2L,1.24,1.25,1.94,1.88,0.0341,0.0176
LSAMP,11,11.3,10.6,10.9,0.0284,0.0176
WDR31,1.23,1.3,1.5,1.52,0.0238,0.0176
PELI3,0.391,0.401,0.553,0.521,0.0211,0.0176
MVK,0.654,0.469,1.33,1.08,0.0337,0.0176
SLAIN2,3.63,3.68,3.71,3.73,0.0193,0.0177
BAG1,0.647,0.351,0.925,0.577,0.0258,0.0177
LOC105371080,0.624,1.14,0.406,0.858,0.0298,0.0177
C14orf1,1.55,1.21,2.35,1.94,0.0368,0.0177
TSNAX-DISC1,0.431,0.514,0.356,0.399,0.0201,0.0178
ZNF829,0.863,0.987,0.828,0.912,0.0204,0.0178
ARHGEF37,0.998,0.918,1.51,1.37,0.03,0.0178
ZNF268,0.938,1.07,1.19,1.28,0.0236,0.0178
STK16,0.275,0.19,0.361,0.235,0.0205,0.0178
DBT,2.22,2.39,2.69,2.79,0.0289,0.0179
SLC25A15,0.467,0.474,0.553,0.521,0.0195,0.0179
TPD52L2,2.27,2.33,2.95,2.94,0.0342,0.0179
GPN2,0.916,1.02,1.23,1.29,0.0253,0.018
KDM5C,3.89,4.12,3.28,3.45,0.0343,0.018
